"new_simple_name","taxon_id","kingdom","class","new_redlistTW"
"Lindsaea ensifolia","t0026468","Plantae","Polypodiopsida","NNT"
"Lindsaea kawabatae","t0026471","Plantae","Polypodiopsida","NVU"
"Lindsaea lucida","t0026472","Plantae","Polypodiopsida","NVU"
"Lindsaea obtusa","t0026474","Plantae","Polypodiopsida","NNT"
"Lindsaea orbiculata","t0026475","Plantae","Polypodiopsida","NLC"
"Odontosoria biflora","t0026476","Plantae","Polypodiopsida","NLC"
"Odontosoria chinensis","t0026477","Plantae","Polypodiopsida","NLC"
"Odontosoria gracilis","t0026478","Plantae","Polypodiopsida","NNT"
"Osmolindsaea japonica","t0026479","Plantae","Polypodiopsida","NLC"
"Tapeinidium pinnatum","t0026483","Plantae","Polypodiopsida","NLC"
"Coniogramme fraxinea","t0026484","Plantae","Polypodiopsida","NLC"
"Coniogramme intermedia","t0026485","Plantae","Polypodiopsida","NLC"
"Coniogramme japonica","t0026486","Plantae","Polypodiopsida","NLC"
"Coniogramme procera","t0026487","Plantae","Polypodiopsida","NLC"
"Cryptogramma brunoniana","t0026488","Plantae","Polypodiopsida","NLC"
"Cryptogramma stelleri","t0026489","Plantae","Polypodiopsida","NNT"
"Acrostichum aureum","t0026490","Plantae","Polypodiopsida","NVU"
"Ceratopteris thalictroides","t0026491","Plantae","Polypodiopsida","NLC"
"Anogramma leptophylla","t0026492","Plantae","Polypodiopsida","NNT"
"Onychium japonicum","t0026493","Plantae","Polypodiopsida","NLC"
"Onychium lucidum","t0026494","Plantae","Polypodiopsida","NLC"
"Onychium siliculosum","t0026495","Plantae","Polypodiopsida","NNT"
"Pteris angustipinna","t0026497","Plantae","Polypodiopsida","NCR"
"Pteris arisanensis","t0026498","Plantae","Polypodiopsida","NLC"
"Pteris bella","t0026499","Plantae","Polypodiopsida","NNT"
"Pteris biaurita","t0026500","Plantae","Polypodiopsida","NLC"
"Pteris cadieri","t0026501","Plantae","Polypodiopsida","NLC"
"Pteris dactylina","t0026503","Plantae","Polypodiopsida","NLC"
"Pteris deltodon","t0026504","Plantae","Polypodiopsida","NLC"
"Pteris ensiformis","t0026507","Plantae","Polypodiopsida","NLC"
"Pteris esquirolii","t0026508","Plantae","Polypodiopsida","NEN"
"Pteris formosana","t0026509","Plantae","Polypodiopsida","NLC"
"Pteris incurvata","t0026510","Plantae","Polypodiopsida","NLC"
"Pteris kawabatae","t0026511","Plantae","Polypodiopsida","NVU"
"Pteris kidoi","t0026512","Plantae","Polypodiopsida","NNT"
"Pteris latipinna","t0026513","Plantae","Polypodiopsida","NVU"
"Pteris longipes","t0026514","Plantae","Polypodiopsida","NLC"
"Pteris longipinna","t0026515","Plantae","Polypodiopsida","NLC"
"Pteris multifida","t0026516","Plantae","Polypodiopsida","NLC"
"Pteris venusta","t0026518","Plantae","Polypodiopsida","NEN"
"Pteris perplexa","t0026519","Plantae","Polypodiopsida","NLC"
"Pteris ryukyuensis","t0026521","Plantae","Polypodiopsida","NNT"
"Pteris scabristipes","t0026522","Plantae","Polypodiopsida","NLC"
"Pteris semipinnata","t0026523","Plantae","Polypodiopsida","NLC"
"Pteris subesquirolii","t0026525","Plantae","Polypodiopsida","NNT"
"Pteris tripartita","t0026527","Plantae","Polypodiopsida","DD"
"Pteris vittata","t0026528","Plantae","Polypodiopsida","NLC"
"Pteris wallichiana","t0026529","Plantae","Polypodiopsida","NLC"
"Pteris × wulaiensis","t0026530","Plantae","Polypodiopsida","NCR"
"Aleuritopteris argentea","t0026533","Plantae","Polypodiopsida","NLC"
"Aleuritopteris formosana","t0026534","Plantae","Polypodiopsida","NLC"
"Aleuritopteris subargentea","t0026537","Plantae","Polypodiopsida","DD"
"Cheilanthes chusana","t0026538","Plantae","Polypodiopsida","NLC"
"Cheilanthes tenuifolia","t0026540","Plantae","Polypodiopsida","NLC"
"Doryopteris concolor","t0026541","Plantae","Polypodiopsida","NLC"
"Paragymnopteris vestita","t0026542","Plantae","Polypodiopsida","NEN"
"Parahemionitis arifolia","t0026543","Plantae","Polypodiopsida","NVU"
