"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Alnus henryi","t0052558","Plantae","Magnoliopsida","CR",NA,NA
"Alnus nepalensis","t0052559","Plantae","Magnoliopsida","LC",NA,NA
"Aloe millotii","t0052564","Plantae","Magnoliopsida","LC",NA,NA
"Amentotaxus formosana","t0052582","Plantae","Pinopsida","EN","1","NEN"
"Ammannia auriculata","t0052584","Plantae","Magnoliopsida","LC",NA,NA
"Anoectochilus koshunensis","t0052598","Plantae","Magnoliopsida","DD",NA,"NLC"
"Ardisia squamulosa","t0052616","Plantae","Magnoliopsida","VU",NA,NA
"Isotrema cucurbitifolium","t0052623","Plantae","Magnoliopsida","VU",NA,"NVU"
"Artocarpus odoratissimus","t0052638","Plantae","Magnoliopsida","NT",NA,NA
"Asparagus officinalis","t0052653","Plantae","Magnoliopsida","LC",NA,NA
"Aster subulatus","t0052666","Plantae","Magnoliopsida","LC",NA,NA
"Atalantia dasycarpa","t0052674","Plantae","Magnoliopsida","LC",NA,NA
"Aucuba chinensis","t0052678","Plantae","Magnoliopsida","LC",NA,"NLC"
"Avicennia marina","t0052682","Plantae","Magnoliopsida","LC",NA,"NLC"
"Bacopa monnieri","t0052683","Plantae","Magnoliopsida","LC",NA,"NLC"
"Berrya ammonilla","t0052727","Plantae","Magnoliopsida","LC",NA,"NEN"
"Boehmeria pilosiuscula","t0052739","Plantae","Magnoliopsida","LC",NA,"NLC"
"Bonnaya antipoda","t0052743","Plantae","Magnoliopsida","LC",NA,"NLC"
"Borreria laevis","t0052744","Plantae","Magnoliopsida","LC",NA,NA
"Buddleja asiatica","t0052755","Plantae","Magnoliopsida","LC",NA,"NLC"
"Caldesia grandis","t0052770","Plantae","Magnoliopsida","LC",NA,"NCR"
"Calocedrus macrolepis formosana","t0052784","Plantae","Pinopsida","EN",NA,"NVU"
"Calophyllum inophyllum","t0052787","Plantae","Magnoliopsida","LC",NA,"NLC"
"Capsicum annuum","t0052799","Plantae","Magnoliopsida","LC",NA,NA
"Carex baccans","t0052812","Plantae","Magnoliopsida","LC",NA,"NLC"
"Carex echinata","t0052827","Plantae","Magnoliopsida","LC",NA,"NNT"
"Carex maculata","t0052839","Plantae","Magnoliopsida","LC",NA,"NLC"
"Carex phacota","t0052850","Plantae","Magnoliopsida","LC",NA,"NLC"
"Carpinus hebestroma","t0052872","Plantae","Magnoliopsida","CR",NA,"NLC"
"Carpinus kawakamii","t0052873","Plantae","Magnoliopsida","LC",NA,"NLC"
"Carpinus rankanensis","t0052874","Plantae","Magnoliopsida","LC",NA,"NLC"
"Caryota mitis","t0052877","Plantae","Magnoliopsida","LC",NA,NA
"Casimiroa edulis","t0052881","Plantae","Magnoliopsida","LC",NA,NA
"Cassia grandis","t0052883","Plantae","Magnoliopsida","LC",NA,NA
"Castanea crenata","t0052885","Plantae","Magnoliopsida","LC",NA,NA
"Castanopsis kawakamii","t0052891","Plantae","Magnoliopsida","NT",NA,"NNT"
"Castanopsis kusanoi","t0052892","Plantae","Magnoliopsida","LC",NA,"NLC"
"Castanospermum australe","t0052893","Plantae","Magnoliopsida","LC",NA,NA
"Celtis biondii","t0052909","Plantae","Magnoliopsida","LC",NA,"NLC"
"Celtis sinensis","t0052914","Plantae","Magnoliopsida","LC",NA,"NLC"
"Pennisetum setaceum","t0052917","Plantae","Magnoliopsida","LC",NA,NA
"Cephalotaxus wilsoniana","t0052928","Plantae","Pinopsida","EN",NA,"NVU"
"Ceratophyllum demersum","t0052933","Plantae","Magnoliopsida","LC",NA,"DD"
"Chamaecyparis formosensis","t0052942","Plantae","Pinopsida","EN",NA,"NNT"
"Chamaecyparis obtusa","t0052943","Plantae","Pinopsida","NT",NA,"NNT"
"Chisocheton patens","t0052977","Plantae","Magnoliopsida","LC",NA,"NVU"
"Ceiba speciosa","t0052988","Plantae","Magnoliopsida","LC",NA,NA
"Cinnamomum austrosinense","t0053003","Plantae","Magnoliopsida","LC",NA,"NEN"
"Cinnamomum kotoense","t0053006","Plantae","Magnoliopsida","CR",NA,"NCR"
"Cinnamomum subavenium","t0053010","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cinnamomum verum","t0053011","Plantae","Magnoliopsida","VU",NA,NA
"Clausena anisum-olens","t0053038","Plantae","Magnoliopsida","LC",NA,"NVU"
"Clausena lansium","t0053040","Plantae","Magnoliopsida","LC",NA,NA
"Clerodendrum chinense","t0053063","Plantae","Magnoliopsida","LC",NA,NA
"Clerodendrum cyrtophyllum","t0053064","Plantae","Magnoliopsida","LC",NA,"NLC"
"Coccoloba uvifera","t0053077","Plantae","Magnoliopsida","LC",NA,NA
"Cocculus laurifolius","t0053078","Plantae","Magnoliopsida","LC",NA,"NVU"
"Commelina diffusa","t0053100","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cordia subcordata","t0053116","Plantae","Magnoliopsida","LC",NA,NA
"Corylopsis pauciflora","t0053134","Plantae","Magnoliopsida","DD",NA,"NNT"
"Crossandra infundibuliformis","t0053157","Plantae","Magnoliopsida","LC",NA,NA
"Crotalaria lanceolata","t0053172","Plantae","Magnoliopsida","LC",NA,NA
"Cryptocarya elliptifolia","t0053190","Plantae","Magnoliopsida","CR",NA,"NCR"
"Cryptomeria japonica","t0053192","Plantae","Pinopsida","NT",NA,NA
"Cucurbita pepo","t0053199","Plantae","Magnoliopsida","LC",NA,NA
"Cunninghamia lanceolata","t0053201","Plantae","Pinopsida","LC",NA,NA
"Curcuma zedoaria","t0053211","Plantae","Magnoliopsida","DD",NA,NA
"Cyperus alternifolius","t0053251","Plantae","Magnoliopsida","LC",NA,NA
"Cyperus compressus","t0053253","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus digitatus","t0053256","Plantae","Magnoliopsida","LC",NA,"NNT"
"Cyperus eragrostis","t0053258","Plantae","Magnoliopsida","LC",NA,NA
"Cyperus haspan","t0053261","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus nipponicus","t0053267","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus pilosus","t0053268","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus rotundus","t0053272","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus serotinus","t0053273","Plantae","Magnoliopsida","LC",NA,"NNT"
"Cyperus stoloniferus","t0053274","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus tenuiculmis","t0053276","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cyperus tenuispica","t0053277","Plantae","Magnoliopsida","LC",NA,"NLC"
"Cypholophus moluccanus","t0053278","Plantae","Magnoliopsida","LC",NA,"NNT"
"Cypripedium debile","t0053280","Plantae","Magnoliopsida","VU",NA,"NNT"
"Cypripedium formosanum","t0053281","Plantae","Magnoliopsida","EN",NA,"NEN"
"Dalbergia benthamii","t0053290","Plantae","Magnoliopsida","LC",NA,"NLC"
"Dalbergia sissoo","t0053292","Plantae","Magnoliopsida","LC",NA,NA
"Decaspermum gracilentum","t0053305","Plantae","Magnoliopsida","LC",NA,"NLC"
"Dehaasia incrassata","t0053308","Plantae","Magnoliopsida","LC",NA,"NCR"
"Delonix regia","t0053309","Plantae","Magnoliopsida","LC",NA,NA
"Dendrobium officinale","t0053312","Plantae","Magnoliopsida","CR",NA,"NVU"
"Dendrobium moniliforme","t0053325","Plantae","Magnoliopsida","EN",NA,"NLC"
"Dendrocnide meyeniana","t0053336","Plantae","Magnoliopsida","LC",NA,"NLC"
"Dendrolobium umbellatum","t0053338","Plantae","Magnoliopsida","LC",NA,"NLC"
"Dendropanax dentiger","t0053339","Plantae","Magnoliopsida","LC",NA,"NLC"
"Dillenia indica","t0053392","Plantae","Magnoliopsida","LC",NA,NA
"Dimocarpus longan","t0053395","Plantae","Magnoliopsida","DD",NA,NA
