"new_simple_name","kingdom","class","new_redlistTW"
"Polystichum nepalense","Plantae","Polypodiopsida","NLC"
"Polystichum parvipinnulum","Plantae","Polypodiopsida","NLC"
"Polystichum piceopaleaceum","Plantae","Polypodiopsida","NLC"
"Polystichum prescottianum","Plantae","Polypodiopsida","NVU"
"Polystichum prionolepis","Plantae","Polypodiopsida","NLC"
"Polystichum sinense","Plantae","Polypodiopsida","NLC"
"Polystichum stenophyllum","Plantae","Polypodiopsida","NLC"
"Polystichum taizhongense","Plantae","Polypodiopsida","NVU"
"Polystichum tenuius","Plantae","Polypodiopsida","NCR"
"Polystichum thomsonii","Plantae","Polypodiopsida","NNT"
"Polystichum xiphophyllum","Plantae","Polypodiopsida","NEN"
"Lomariopsis boninensis","Plantae","Polypodiopsida","NNT"
"Nephrolepis biserrata","Plantae","Polypodiopsida","NLC"
"Nephrolepis brownii","Plantae","Polypodiopsida","NLC"
"Nephrolepis cordifolia","Plantae","Polypodiopsida","NLC"
"Arthropteris palisotii","Plantae","Polypodiopsida","NLC"
"Pteridrys cnemidaria","Plantae","Polypodiopsida","NVU"
"Tectaria coadunata","Plantae","Polypodiopsida","NLC"
"Tectaria decurrens","Plantae","Polypodiopsida","NLC"
"Tectaria devexa","Plantae","Polypodiopsida","NLC"
"Tectaria dissecta","Plantae","Polypodiopsida","NLC"
"Tectaria dubia","Plantae","Polypodiopsida","NNT"
"Tectaria fauriei","Plantae","Polypodiopsida","NLC"
"Tectaria fuscipes","Plantae","Polypodiopsida","NLC"
"Tectaria griffithii","Plantae","Polypodiopsida","NLC"
"Tectaria harlandii","Plantae","Polypodiopsida","NLC"
"Tectaria impressa","Plantae","Polypodiopsida","NLC"
"Tectaria phaeocaulis","Plantae","Polypodiopsida","NLC"
"Tectaria polymorpha","Plantae","Polypodiopsida","NLC"
"Tectaria simonsii","Plantae","Polypodiopsida","NLC"
"Tectaria subfuscipes","Plantae","Polypodiopsida","NLC"
"Tectaria subtriphylla","Plantae","Polypodiopsida","NLC"
"Tectaria sulitii","Plantae","Polypodiopsida","NVU"
"Oleandra wallichii","Plantae","Polypodiopsida","NLC"
"Davallia pectinata","Plantae","Polypodiopsida","NEN"
"Davallia repens","Plantae","Polypodiopsida","NNT"
"Davallia solida","Plantae","Polypodiopsida","NLC"
"Davallia trichomanoides","Plantae","Polypodiopsida","NLC"
"Loxogramme biformis","Plantae","Polypodiopsida","NEN"
"Loxogramme chinensis","Plantae","Polypodiopsida","DD"
"Loxogramme formosana","Plantae","Polypodiopsida","NLC"
"Loxogramme grammitoides","Plantae","Polypodiopsida","NNT"
"Loxogramme salicifolia","Plantae","Polypodiopsida","NLC"
"Drynaria coronans","Plantae","Polypodiopsida","NLC"
"Drynaria meyeniana","Plantae","Polypodiopsida","NNT"
"Drynaria roosii","Plantae","Polypodiopsida","NLC"
"Selliguea echinospora","Plantae","Polypodiopsida","NLC"
"Selliguea engleri","Plantae","Polypodiopsida","NLC"
"Selliguea falcatopinnata","Plantae","Polypodiopsida","NVU"
"Selliguea hastata","Plantae","Polypodiopsida","NLC"
"Selliguea quasidivaricata","Plantae","Polypodiopsida","NLC"
"Selliguea taiwanensis","Plantae","Polypodiopsida","DD"
"Selliguea yakushimensis","Plantae","Polypodiopsida","NNT"
"Pyrrosia angustissima","Plantae","Polypodiopsida","NVU"
"Pyrrosia lanceolata","Plantae","Polypodiopsida","NLC"
"Pyrrosia linearifolia","Plantae","Polypodiopsida","NLC"
"Pyrrosia lingua","Plantae","Polypodiopsida","NLC"
"Pyrrosia matsudae","Plantae","Polypodiopsida","DD"
"Pyrrosia polydactylos","Plantae","Polypodiopsida","NLC"
"Pyrrosia porosa","Plantae","Polypodiopsida","DD"
"Pyrrosia sheareri","Plantae","Polypodiopsida","NLC"
"Goniophlebium persicifolium","Plantae","Polypodiopsida","DD"
"Goniophlebium transpianense","Plantae","Polypodiopsida","NLC"
"Lemmaphyllum microphyllum","Plantae","Polypodiopsida","NLC"
"Lepidomicrosorium ningpoense","Plantae","Polypodiopsida","NLC"
"Lepisorus kawakamii","Plantae","Polypodiopsida","NLC"
"Lepisorus kuchenensis","Plantae","Polypodiopsida","DD"
"Lepisorus megasorus","Plantae","Polypodiopsida","NLC"
"Lepisorus miyoshianus","Plantae","Polypodiopsida","NNT"
"Lepisorus monilisorus","Plantae","Polypodiopsida","NLC"
"Lepisorus morrisonensis","Plantae","Polypodiopsida","NLC"
"Lepisorus mucronatus","Plantae","Polypodiopsida","NCR"
"Lepisorus obscurevenulosus","Plantae","Polypodiopsida","NLC"
"Lepisorus papakensis","Plantae","Polypodiopsida","NLC"
"Lepisorus pseudoussuriensis","Plantae","Polypodiopsida","NLC"
"Lepisorus suboligolepidus","Plantae","Polypodiopsida","NLC"
"Lepisorus thunbergianus","Plantae","Polypodiopsida","NLC"
"Lepisorus tosaensis","Plantae","Polypodiopsida","NLC"
"Leptochilus decurrens","Plantae","Polypodiopsida","NLC"
"Leptochilus ellipticus","Plantae","Polypodiopsida","NLC"
"Leptochilus hemionitideus","Plantae","Polypodiopsida","NLC"
"Leptochilus henryi","Plantae","Polypodiopsida","DD"
"Microsorum insigne","Plantae","Polypodiopsida","NLC"
"Leptochilus longissimus","Plantae","Polypodiopsida","NEN"
"Leptochilus nigrescens","Plantae","Polypodiopsida","NVU"
"Leptochilus pteropus","Plantae","Polypodiopsida","NLC"
"Leptochilus wrightii","Plantae","Polypodiopsida","NLC"
"Bosmania membranacea","Plantae","Polypodiopsida","NLC"
