"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"5aeffa2c-6619-487e-b3aa-85acf4bf0fbf","infraspecies","fbaa2953-0926-4f00-a56d-b7bb6c54f11c","t0086098","Philanthus notatulus formosanus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Philanthus notatulus formosanus","FALSE","FALSE","native","","","","Philanthus","notatulus","formosanus","","","",TRUE,TRUE,TRUE,TRUE
"3df992a9-c897-4d8f-9323-961a5c48032d","infraspecies","0adcb7a3-257c-4426-9e32-864ab85e4ae1","t0086166","Pseneo exaratus taiwanus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Pseneo exaratus taiwanus","FALSE","FALSE","native","","","","Pseneo","exaratus","taiwanus","","","",TRUE,TRUE,TRUE,TRUE
"822c3cab-3876-4044-b329-8f2074114149","infraspecies","2978183b-b956-469c-930d-96bce6030d7d","t0085410","Ceratina dentipes kankauensis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Ceratina dentipes kankauensis","FALSE","FALSE","native","","","","Ceratina","dentipes","kankauensis","","","",TRUE,TRUE,TRUE,TRUE
"9cee9a6a-b5eb-452d-b960-1af4ce31d4d7","infraspecies","320dee25-b01f-4bb8-8449-96a7b8f1009e","t0085412","Ceratina nigrolateralis vechti","Animalia","Insecta","native","true","","","","",NA,"infraspecies","Ceratina nigrolateralis vechti","TRUE","FALSE","native","","","","Ceratina","nigrolateralis","vechti","","","",TRUE,TRUE,TRUE,TRUE
"233b8b5b-e432-4bae-8032-1ead423ca696","infraspecies","63b67315-f28f-4687-89b9-f10a7a28b8ba","t0085723","Habropoda sinensis taiwana","Animalia","Insecta","native","","","","","",NA,"infraspecies","Habropoda sinensis taiwana","FALSE","FALSE","native","","","","Habropoda","sinensis","taiwana","","","",TRUE,TRUE,TRUE,TRUE
"1d8bf6fd-73ee-4b55-ab7a-3bab4adbcdb4","infraspecies","1e1e8e92-d463-4699-8832-6036e0804167","t0085724","Habropoda tainanicola tainanicola","Animalia","Insecta","native","","","","","",NA,"infraspecies","Habropoda tainanicola tainanicola","FALSE","FALSE","native","","","","Habropoda","tainanicola","tainanicola","","","",TRUE,TRUE,TRUE,TRUE
"eaa0727d-95e0-4414-a69d-a66790c20e1f","infraspecies","2ff929fe-46f4-489a-b041-1bbacd0874eb","t0085977","Nomada anpingensis suisharonisy","Animalia","Insecta","native","","","","","",NA,"infraspecies","Nomada anpingensis suisharonisy","FALSE","FALSE","native","","","","Nomada","anpingensis","suisharonisy","","","",TRUE,TRUE,TRUE,TRUE
"79933246-6674-45d2-b79d-396bdf44a28d","infraspecies","53bb4235-f1c5-4b29-8ec0-18ebbc5ca1c8","t0033328","Tetralonioidella himalayana formosana","Animalia","Insecta","native","true","","","","",NA,"infraspecies","Tetralonioidella himalayana formosana","TRUE","FALSE","native","","","","Tetralonioidella","himalayana","formosana","","","",TRUE,TRUE,TRUE,TRUE
"a1ca3e90-186f-4bfa-95f7-85dc5ea83fda","infraspecies","820d7602-124b-44ad-bdc2-5fc003d47d9e","t0086438","Xylocopa collaris sauteri","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xylocopa collaris sauteri","FALSE","FALSE","native","","","","Xylocopa","collaris","sauteri","","","",TRUE,TRUE,TRUE,TRUE
"e286770b-9e3b-46ce-a600-c7cf42362cc7","infraspecies","2c0b0f8c-1e84-4703-b8ec-b98ae098a728","t0085411","Ceratina japonica alpicola","Animalia","Insecta","native","","","","","",NA,"infraspecies","Ceratina japonica alpicola","FALSE","FALSE","native","","","","Ceratina","japonica","alpicola","","","",TRUE,TRUE,TRUE,TRUE
"ba46a530-5477-465a-be92-5e73b0d8963b","infraspecies","66d16cd0-808a-441a-a0fb-0de77cbd3dfa","t0085413","Ceratina okinawana taiwanensis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Ceratina okinawana taiwanensis","FALSE","FALSE","native","","","","Ceratina","okinawana","taiwanensis","","","",TRUE,TRUE,TRUE,TRUE
"ad514e49-0c03-4145-bbfe-83bc963ec20c","infraspecies","9795e84c-5828-4e38-87ba-fa6969246484","t0085221","Ammophila atripes formosana","Animalia","Insecta","native","","","","","",NA,"infraspecies","Ammophila atripes formosana","FALSE","FALSE","native","","","","Ammophila","atripes","formosana","","","",TRUE,TRUE,TRUE,TRUE
