"new_simple_name","kingdom","class","new_iucn"
"Yucca gloriosa","Plantae","Magnoliopsida","LC"
"Zamia furfuracea","Plantae","Cycadopsida","EN"
"Zannichellia palustris","Plantae","Magnoliopsida","LC"
"Zantedeschia aethiopica","Plantae","Magnoliopsida","LC"
"Zanthoxylum acanthopodium","Plantae","Magnoliopsida","LC"
"Zanthoxylum armatum","Plantae","Magnoliopsida","LC"
"Zanthoxylum simulans","Plantae","Magnoliopsida","LC"
"Zea mays","Plantae","Magnoliopsida","LC"
"Zelkova serrata","Plantae","Magnoliopsida","NT"
"Zingiber officinale","Plantae","Magnoliopsida","DD"
"Zingiber zerumbet","Plantae","Magnoliopsida","DD"
"Zostera japonica","Plantae","Magnoliopsida","LC"
"Abies kawakamii","Plantae","Pinopsida","NT"
"Acacia dealbata","Plantae","Magnoliopsida","LC"
"Acacia farnesiana","Plantae","Magnoliopsida","LC"
"Acalypha hontauyuensis","Plantae","Magnoliopsida","VU"
"Acer morrisonense","Plantae","Magnoliopsida","LC"
"Aegiceras corniculatum","Plantae","Magnoliopsida","LC"
"Aeginetia indica","Plantae","Magnoliopsida","LC"
"Aglaia chittagonga","Plantae","Magnoliopsida","VU"
"Aglaia elliptifolia","Plantae","Magnoliopsida","LC"
"Alnus henryi","Plantae","Magnoliopsida","CR"
"Alnus nepalensis","Plantae","Magnoliopsida","LC"
"Aloe arborescens","Plantae","Magnoliopsida","LC"
"Aloe millotii","Plantae","Magnoliopsida","LC"
"Alyxia sinensis","Plantae","Magnoliopsida","LC"
"Alyxia taiwanensis","Plantae","Magnoliopsida","LC"
"Amentotaxus formosana","Plantae","Pinopsida","EN"
"Ammannia auriculata","Plantae","Magnoliopsida","LC"
"Ammannia baccifera","Plantae","Magnoliopsida","LC"
"Anoectochilus koshunensis","Plantae","Magnoliopsida","DD"
"Anthemis nobilis","Plantae","Magnoliopsida","LC"
"Anthurium magnificum","Plantae","Magnoliopsida","NT"
"Apium graveolens","Plantae","Magnoliopsida","LC"
"Araucaria bidwillii","Plantae","Pinopsida","LC"
"Araucaria cunninghamii","Plantae","Pinopsida","LC"
"Ardisia squamulosa","Plantae","Magnoliopsida","VU"
"Isotrema cucurbitifolium","Plantae","Magnoliopsida","VU"
"Artocarpus odoratissimus","Plantae","Magnoliopsida","NT"
"Asparagus officinalis","Plantae","Magnoliopsida","DD"
"Atalantia dasycarpa","Plantae","Magnoliopsida","LC"
"Aucuba chinensis","Plantae","Magnoliopsida","LC"
"Averrhoa bilimbi","Plantae","Magnoliopsida","LC"
"Averrhoa carambola","Plantae","Magnoliopsida","DD"
"Avicennia marina","Plantae","Magnoliopsida","LC"
"Bacopa monnieri","Plantae","Magnoliopsida","LC"
"Bactris gasipaes","Plantae","Magnoliopsida","LC"
"Bergia ammannioides","Plantae","Magnoliopsida","LC"
"Berrya ammonilla","Plantae","Magnoliopsida","LC"
"Boehmeria pilosiuscula","Plantae","Magnoliopsida","LC"
"Bonnaya antipoda","Plantae","Magnoliopsida","LC"
"Borreria laevis","Plantae","Magnoliopsida","LC"
"Bretschneidera sinensis","Plantae","Magnoliopsida","EN"
"Buddleja asiatica","Plantae","Magnoliopsida","LC"
"Caldesia grandis","Plantae","Magnoliopsida","LC"
"Calliandra haematocephala","Plantae","Magnoliopsida","LC"
"Callicarpa longissima","Plantae","Magnoliopsida","LC"
"Calocedrus macrolepis","Plantae","Pinopsida","NT"
"Calocedrus macrolepis formosana","Plantae","Pinopsida","EN"
"Calophyllum blancoi","Plantae","Magnoliopsida","LC"
"Calophyllum inophyllum","Plantae","Magnoliopsida","LC"
"Camellia oleifera","Plantae","Magnoliopsida","LC"
"Camellia sasanqua","Plantae","Magnoliopsida","LC"
"Canthium gynochodes","Plantae","Magnoliopsida","LC"
"Capsicum annuum","Plantae","Magnoliopsida","LC"
"Cardiospermum halicacabum","Plantae","Magnoliopsida","LC"
"Carex baccans","Plantae","Magnoliopsida","LC"
"Carex doniana","Plantae","Magnoliopsida","LC"
"Carex echinata","Plantae","Magnoliopsida","LC"
"Carex filicina","Plantae","Magnoliopsida","LC"
"Carex maculata","Plantae","Magnoliopsida","LC"
"Carex phacota","Plantae","Magnoliopsida","LC"
"Carex pumila","Plantae","Magnoliopsida","LC"
"Carica papaya","Plantae","Magnoliopsida","DD"
"Carludovica palmata","Plantae","Magnoliopsida","LC"
"Carpinus hebestroma","Plantae","Magnoliopsida","CR"
"Carpinus kawakamii","Plantae","Magnoliopsida","LC"
"Carpinus rankanensis","Plantae","Magnoliopsida","LC"
"Caryota mitis","Plantae","Magnoliopsida","LC"
"Caryota urens","Plantae","Magnoliopsida","LC"
"Casearia glomerata","Plantae","Magnoliopsida","LC"
"Casimiroa edulis","Plantae","Magnoliopsida","LC"
"Cassia grandis","Plantae","Magnoliopsida","LC"
"Castanea crenata","Plantae","Magnoliopsida","LC"
"Castanea mollissima","Plantae","Magnoliopsida","LC"
"Castanopsis eyrei","Plantae","Magnoliopsida","LC"
"Castanopsis fargesii","Plantae","Magnoliopsida","LC"
"Castanopsis kawakamii","Plantae","Magnoliopsida","LR/nt"
"Castanopsis kusanoi","Plantae","Magnoliopsida","LC"
"Castanospermum australe","Plantae","Magnoliopsida","LC"
"Casuarina equisetifolia","Plantae","Magnoliopsida","LC"
"Cecropia peltata","Plantae","Magnoliopsida","LC"
"Celosia argentea","Plantae","Magnoliopsida","LC"
"Celosia cristata","Plantae","Magnoliopsida","LC"
"Celtis biondii","Plantae","Magnoliopsida","LC"
"Celtis philippensis","Plantae","Magnoliopsida","LC"
"Celtis sinensis","Plantae","Magnoliopsida","LC"
"Cenchrus ciliaris","Plantae","Magnoliopsida","LC"
"Pennisetum setaceum","Plantae","Magnoliopsida","LC"
"Pennisetum polystachion","Plantae","Magnoliopsida","LC"
"Cephalotaxus wilsoniana","Plantae","Pinopsida","EN"
"Ceratophyllum demersum","Plantae","Magnoliopsida","LC"
"Cerbera manghas","Plantae","Magnoliopsida","LC"
"Chamaecrista mimosoides","Plantae","Magnoliopsida","LC"
"Chamaecyparis formosensis","Plantae","Pinopsida","EN"
"Chamaecyparis obtusa formosana","Plantae","Pinopsida","VU"
"Chamaedorea seifrizii","Plantae","Magnoliopsida","LC"
"Chamaerops humilis","Plantae","Magnoliopsida","LC"
"Cheirostylis octodactyla","Plantae","Magnoliopsida","EN"
"Chionanthus ramiflorus","Plantae","Magnoliopsida","LC"
"Chisocheton patens","Plantae","Magnoliopsida","LC"
"Ceiba speciosa","Plantae","Magnoliopsida","LC"
"Dypsis lutescens","Plantae","Magnoliopsida","NT"
"Chrysobalanus icaco","Plantae","Magnoliopsida","LC"
"Cinchona pubescens","Plantae","Magnoliopsida","LC"
"Cinnamomum austrosinense","Plantae","Magnoliopsida","LC"
"Cinnamomum aromaticum","Plantae","Magnoliopsida","LC"
"Cinnamomum insulari-montanum","Plantae","Magnoliopsida","LC"
"Cinnamomum kotoense","Plantae","Magnoliopsida","CR"
"Cinnamomum macrostemon","Plantae","Magnoliopsida","VU"
"Cinnamomum osmophloeum","Plantae","Magnoliopsida","NT"
"Cinnamomum reticulatum","Plantae","Magnoliopsida","NT"
"Cinnamomum subavenium","Plantae","Magnoliopsida","LC"
"Cinnamomum verum","Plantae","Magnoliopsida","VU"
"Citrus × aurantium","Plantae","Magnoliopsida","CR"
"Clausena anisum-olens","Plantae","Magnoliopsida","LC"
"Clausena excavata","Plantae","Magnoliopsida","LC"
"Clausena lansium","Plantae","Magnoliopsida","LC"
"Clerodendrum chinense","Plantae","Magnoliopsida","LC"
"Clerodendrum cyrtophyllum","Plantae","Magnoliopsida","LC"
"Clerodendrum trichotomum","Plantae","Magnoliopsida","LC"
"Clibadium surinamense","Plantae","Magnoliopsida","LC"
"Coccoloba uvifera","Plantae","Magnoliopsida","LC"
"Cocculus laurifolius","Plantae","Magnoliopsida","LC"
"Codiaeum variegatum","Plantae","Magnoliopsida","LC"
"Coffea arabica","Plantae","Magnoliopsida","EN"
"Coix lacryma-jobi","Plantae","Magnoliopsida","LC"
"Coldenia procumbens","Plantae","Magnoliopsida","LC"
"Colubrina asiatica","Plantae","Magnoliopsida","LC"
"Commelina benghalensis","Plantae","Magnoliopsida","LC"
"Commelina diffusa","Plantae","Magnoliopsida","LC"
"Cordia dichotoma","Plantae","Magnoliopsida","LC"
"Corylopsis pauciflora","Plantae","Magnoliopsida","DD"
"Corylus heterophylla","Plantae","Magnoliopsida","LC"
"Crossandra infundibuliformis","Plantae","Magnoliopsida","LC"
"Crotalaria albida","Plantae","Magnoliopsida","LC"
"Crotalaria assamica","Plantae","Magnoliopsida","LC"
"Crotalaria incana","Plantae","Magnoliopsida","LC"
"Crotalaria lanceolata","Plantae","Magnoliopsida","LC"
"Crotalaria micans","Plantae","Magnoliopsida","LC"
"Crotalaria spectabilis","Plantae","Magnoliopsida","LC"
"Croton cascarilloides","Plantae","Magnoliopsida","LC"
"Croton tiglium","Plantae","Magnoliopsida","LC"
"Cryptocarya chinensis","Plantae","Magnoliopsida","LC"
"Cryptocarya concinna","Plantae","Magnoliopsida","LC"
"Cryptocarya elliptifolia","Plantae","Magnoliopsida","CR"
"Cryptomeria japonica","Plantae","Pinopsida","NT"
"Cucurbita pepo","Plantae","Magnoliopsida","LC"
"Cunninghamia konishii","Plantae","Pinopsida","EN"
"Curcuma domestica","Plantae","Magnoliopsida","DD"
"Curcuma longa","Plantae","Magnoliopsida","DD"
"Curcuma viridiflora","Plantae","Magnoliopsida","DD"
"Curcuma zedoaria","Plantae","Magnoliopsida","DD"
"Cycas revoluta","Plantae","Cycadopsida","LC"
"Cydonia oblonga","Plantae","Magnoliopsida","LC"
"Cymbidium macrorhizon","Plantae","Magnoliopsida","LC"
"Cyperus alternifolius","Plantae","Magnoliopsida","LC"
"Cyperus compressus","Plantae","Magnoliopsida","LC"
"Cyperus difformis","Plantae","Magnoliopsida","LC"
"Cyperus diffusus","Plantae","Magnoliopsida","LC"
"Cyperus digitatus","Plantae","Magnoliopsida","LC"
"Cyperus distans","Plantae","Magnoliopsida","LC"
"Cyperus eragrostis","Plantae","Magnoliopsida","LC"
"Cyperus esculentus","Plantae","Magnoliopsida","LC"
"Cyperus exaltatus","Plantae","Magnoliopsida","LC"
"Cyperus haspan","Plantae","Magnoliopsida","LC"
"Cyperus iria","Plantae","Magnoliopsida","LC"
"Cyperus nipponicus","Plantae","Magnoliopsida","LC"
"Cyperus pilosus","Plantae","Magnoliopsida","LC"
"Cyperus pygmaeus","Plantae","Magnoliopsida","LC"
"Cyperus rotundus","Plantae","Magnoliopsida","LC"
"Cyperus serotinus","Plantae","Magnoliopsida","LC"
"Cyperus stoloniferus","Plantae","Magnoliopsida","LC"
"Cyperus tenuiculmis","Plantae","Magnoliopsida","LC"
"Cyperus tenuispica","Plantae","Magnoliopsida","LC"
"Cypholophus moluccanus","Plantae","Magnoliopsida","LC"
"Cyphomandra betacea","Plantae","Magnoliopsida","DD"
"Cypripedium debile","Plantae","Magnoliopsida","VU"
"Cypripedium formosanum","Plantae","Magnoliopsida","EN"
"Cypripedium segawae","Plantae","Magnoliopsida","CR"
"Dalbergia benthamii","Plantae","Magnoliopsida","LC"
"Dalbergia sissoo","Plantae","Magnoliopsida","LC"
"Daucus carota","Plantae","Magnoliopsida","LC"
"Decaspermum gracilentum","Plantae","Magnoliopsida","LC"
"Dehaasia incrassata","Plantae","Magnoliopsida","LC"
"Delonix regia","Plantae","Magnoliopsida","LC"
"Dendrobium officinale","Plantae","Magnoliopsida","CR"
"Dendrobium leptocladum","Plantae","Magnoliopsida","EN"
"Dendrobium moniliforme","Plantae","Magnoliopsida","EN"
"Dendrocalamus giganteus","Plantae","Magnoliopsida","LC"
"Dendrocnide meyeniana","Plantae","Magnoliopsida","LC"
"Dendrolobium umbellatum","Plantae","Magnoliopsida","LC"
"Dendropanax dentiger","Plantae","Magnoliopsida","LC"
"Derris trifoliata","Plantae","Magnoliopsida","LC"
"Deschampsia flexuosa","Plantae","Magnoliopsida","DD"
"Desmanthus virgatus","Plantae","Magnoliopsida","LC"
"Desmodium intortum","Plantae","Magnoliopsida","LC"
"Leptodesmia microphylla","Plantae","Magnoliopsida","LC"
"Grona triflora","Plantae","Magnoliopsida","LC"
"Dichondra micrantha","Plantae","Magnoliopsida","LC"
"Dictyosperma album","Plantae","Magnoliopsida","CR"
"Digitaria longiflora","Plantae","Magnoliopsida","LC"
"Digitaria violascens","Plantae","Magnoliopsida","LC"
"Dillenia indica","Plantae","Magnoliopsida","LC"
"Dimeria ornithopoda","Plantae","Magnoliopsida","LC"
"Dimocarpus longan","Plantae","Magnoliopsida","DD"
"Dioscorea bulbifera","Plantae","Magnoliopsida","LC"
"Dioscorea persimilis","Plantae","Magnoliopsida","NT"
"Diospyros digyna","Plantae","Magnoliopsida","LC"
"Diospyros eriantha","Plantae","Magnoliopsida","LC"
"Diospyros japonica","Plantae","Magnoliopsida","LC"
"Diospyros kaki","Plantae","Magnoliopsida","LC"
"Diospyros kotoensis","Plantae","Magnoliopsida","EN"
"Diospyros maritima","Plantae","Magnoliopsida","LC"
"Diospyros morrisiana","Plantae","Magnoliopsida","LC"
"Diospyros oldhamii","Plantae","Magnoliopsida","LC"
"Diospyros rhombifolia","Plantae","Magnoliopsida","LC"
"Diospyros vaccinioides","Plantae","Magnoliopsida","CR"
"Diplacrum caricinum","Plantae","Magnoliopsida","LC"
"Distyliopsis dunnii","Plantae","Magnoliopsida","LC"
"Distylium gracile","Plantae","Magnoliopsida","EN"
"Distylium racemosum","Plantae","Magnoliopsida","LC"
"Dopatrium junceum","Plantae","Magnoliopsida","LC"
"Dracaena fragrans","Plantae","Magnoliopsida","LC"
"Dracaena reflexa","Plantae","Magnoliopsida","LC"
"Drosera indica","Plantae","Magnoliopsida","LC"
"Drosera peltata","Plantae","Magnoliopsida","LC"
"Duranta erecta","Plantae","Magnoliopsida","LC"
"Durio zibethinus","Plantae","Magnoliopsida","DD"
"Dysoxylum cumingianum","Plantae","Magnoliopsida","LC"
"Dysoxylum hongkongense","Plantae","Magnoliopsida","LC"
"Echinochloa crus-galli","Plantae","Magnoliopsida","LC"
"Echinochloa frumentacea","Plantae","Magnoliopsida","LC"
"Eclipta prostrata","Plantae","Magnoliopsida","LC"
"Ehretia acuminata","Plantae","Magnoliopsida","LC"
"Ehretia dicksonii","Plantae","Magnoliopsida","LC"
"Ehretia longiflora","Plantae","Magnoliopsida","LC"
"Ehretia philippinensis","Plantae","Magnoliopsida","LC"
"Ehretia resinosa","Plantae","Magnoliopsida","LC"
"Elaeagnus conferta","Plantae","Magnoliopsida","LC"
"Elaeagnus oldhamii","Plantae","Magnoliopsida","LC"
"Elaeagnus tarokoensis","Plantae","Magnoliopsida","VU"
"Elaeagnus umbellata","Plantae","Magnoliopsida","LC"
"Elaeis guineensis","Plantae","Magnoliopsida","LC"
"Elaeocarpus argenteus","Plantae","Magnoliopsida","LC"
"Elaeocarpus japonicus","Plantae","Magnoliopsida","LC"
"Elaeocarpus multiflorus","Plantae","Magnoliopsida","LC"
"Eleocharis acicularis","Plantae","Magnoliopsida","LC"
"Eleocharis acutangula","Plantae","Magnoliopsida","LC"
"Eleocharis geniculata","Plantae","Magnoliopsida","LC"
"Eleocharis ochrostachys","Plantae","Magnoliopsida","LC"
"Eleocharis retroflexa","Plantae","Magnoliopsida","LC"
"Eleusine indica","Plantae","Magnoliopsida","LC"
"Ensete glaucum","Plantae","Magnoliopsida","LC"
"Epiphyllum oxypetalum","Plantae","Magnoliopsida","LC"
"Eragrostis atrovirens","Plantae","Magnoliopsida","LC"
"Eragrostis japonica","Plantae","Magnoliopsida","LC"
