"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"400565a3-b9cd-4036-87c4-9adfb03cf713","species","0306f150-66ce-4566-9001-f4572df5fee8","t0097706","Chrysso scintillans","Animalia","Arachnida","native","","","","","",NA,"species","Physcoa scintillans","FALSE","FALSE","native","","","","Physcoa","scintillans",NA,"","","",FALSE,TRUE,TRUE,TRUE
"83152552-f5bc-41c5-9b37-8666cfdb0607","species","0f37059a-5eba-4428-90c8-4304c5fb9c7f","t0062920","Episinus nubilus","Animalia","Arachnida","native","true","","","","",NA,"species","Asiopisinus nubilus","FALSE","FALSE","native","","","","Asiopisinus","nubilus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"d42b79de-8cc3-4c58-af5d-65cc37794e4e","species","e68b6e2a-f1f3-4232-b070-edd3b052b471","t0029177","Faiditus xiphias","Animalia","Arachnida","native","true","","","","",NA,"species","Rhinocosmetus xiphias","FALSE","FALSE","native","","","","Rhinocosmetus","xiphias",NA,"","","",FALSE,TRUE,TRUE,TRUE
"55152068-adc3-42a2-b0e3-642940331873","species","33f623ba-3bff-4d90-9b63-fa2513dad90e","t0047278","Theridion xianfengense","Animalia","Arachnida","native","","","","","",NA,"species","Platnickina xianfengensis","FALSE","FALSE","native","","","","Platnickina","xianfengensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"860301c1-91be-4f36-a4a8-69d45d93a712","species","13164382-1120-440d-8e20-876e6afa07f3","t0028573","Yaginumena mutilata","Animalia","Arachnida","native","","","","","",NA,"species","Lasaeola mutilata","FALSE","FALSE","native","","","","Lasaeola","mutilata",NA,"","","",FALSE,TRUE,TRUE,TRUE
"f8d0200f-84f5-4259-af12-d1b3bb8b4e17","species","27cf2b20-cb28-4f3d-95f4-eb4e6196aa5a","t0027661","Lycosa coelestis","Animalia","Arachnida","native","","","","","",NA,"species","Erranticosa coelestis","FALSE","FALSE","native","","","","Erranticosa","coelestis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"2a4ff497-e8ed-4ebc-9e10-97767cd492a6","species","bf57d40e-206c-4270-a3f4-1daeffe875b4","t0031024","Dictyna felis","Animalia","Arachnida","native","","","","","",NA,"species","Shikibutyna felis","FALSE","FALSE","native","","","","Shikibutyna","felis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"4b1058e6-24fd-4193-be43-1aaa4d1379e3","species","4bb4471d-2dd1-4775-b3c9-24682d7d7913","t0048891","Xestaspis shoushanensis","Animalia","Arachnida","native","true","","","","",NA,"species","Gamasomorpha shoushanensis","FALSE","FALSE","native","","","","Gamasomorpha","shoushanensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"0ca067ea-dc5a-4a75-92cf-e588f0ba9af1","species","336d84c6-b8fc-40a7-a23d-16057d946a02","t0049026","Yaginumaella lobata","Animalia","Arachnida","native","true","","","","",NA,"species","Pancorius lobatus","FALSE","FALSE","native","","","","Pancorius","lobatus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"1e2ed76c-3825-4f40-a84d-ed4e8cd9cdbc","species","7ca06c8f-84fd-435e-b8ce-d1469db9f4ef","t0029135","Eutittha insulana","Animalia","Arachnida","native","","","","","",NA,"species","Cheiracanthium insulanum","FALSE","FALSE","native","","","","Cheiracanthium","insulanum",NA,"","","",FALSE,TRUE,TRUE,TRUE
