"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive_check"
"d63de11f-1788-404a-a957-ef7df230e4ea","species","t0063871","Fimbriaphyllia ancora","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Fimbriaphyllia ancora","","native","LC","","","Fimbriaphyllia","ancora",NA,NA,NA,NA,NA
"09b2a786-2c05-45e2-80c4-bf2b3659d99e","species","t0063447","Euphyllia cristata","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Euphyllia cristata","","native","LC","","","Euphyllia","cristata",NA,NA,NA,NA,NA
"8f2b8493-497d-43e4-a47e-7cdb996b32ee","species","t0063450","Euphyllia paraglabrescens","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Euphyllia paraglabrescens","","native","LC","","","Euphyllia","paraglabrescens",NA,NA,NA,NA,NA
"b40f57ba-8fa9-48f1-bf5a-61786d503d14","species","t0065924","Hydnophora bonsai","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Hydnophora bonsai","","native","LC","","","Hydnophora","bonsai",NA,NA,NA,NA,NA
"60aef91d-0cdf-4640-b460-e01aee09317b","species","t0067223","Leptoria irregularis","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Leptoria irregularis","","native","LC","","","Leptoria","irregularis",NA,NA,NA,NA,NA
"376ef488-a010-4e0b-9a8b-6dabf65506b0","species","t0084338","Physogyra lichtensteini","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Physogyra lichtensteini","","native","LC","","","Physogyra","lichtensteini",NA,NA,NA,NA,NA
"7aaacfd8-0bf2-4b42-ba05-fab19201c305","species","t0067236","Leptoseris incrustans","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Leptoseris incrustans","","native","LC","","","Leptoseris","incrustans",NA,NA,NA,NA,NA
"981988d3-8278-4b99-b949-1576518b57f9","species","t0067242","Leptoseris yabei","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Leptoseris yabei","","native","LC","","","Leptoseris","yabei",NA,NA,NA,NA,NA
"6b98e53e-c099-4839-964b-3477bc5f635b","species","t0082754","Pachyseris rugosa","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Pachyseris rugosa","","native","LC","","","Pachyseris","rugosa",NA,NA,NA,NA,NA
"ec738d5c-166a-4be6-9071-c3fd1ec85279","species","t0083590","Pavona decussata","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Pavona decussata","","native","LC","","","Pavona","decussata",NA,NA,NA,NA,NA
"69a08e3d-8afd-4aec-be83-f5be7830d644","species","t0083597","Pavona venosa","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Pavona venosa","","native","LC","","","Pavona","venosa",NA,NA,NA,NA,NA
"40e43805-d7fd-4303-8f2d-716dcc685f2d","species","t0065267","Heliofungia actiniformis","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Heliofungia actiniformis","","native","LC","","","Heliofungia","actiniformis",NA,NA,NA,NA,NA
"b69938b0-af6e-4af0-8064-0e45dc801924","species","t0064760","Goniopora planulata","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Goniopora planulata","","native","LC","","","Goniopora","planulata",NA,NA,NA,NA,NA
"fe4bfd02-6c00-47b1-b55d-21956c2ab9a7","species","t0036582","Porites nigrescens","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Porites nigrescens","","native","LC","","","Porites","nigrescens",NA,NA,NA,NA,NA
"4270c40d-63c2-46d1-a97b-637751786929","species","t0036583","Porites okinawensis","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Porites okinawensis","","native","LC","","","Porites","okinawensis",NA,NA,NA,NA,NA
"58483210-0aa0-427a-8b74-949783590cfa","species","t0036569","Porites cumulatus","Animalia","Hexacorallia","native","","","","LC","輕度","","species","Porites cumulatus","","native","LC","","","Porites","cumulatus",NA,NA,NA,NA,NA
"aa0bea06-94c3-41be-abe1-5f70c2de6ffd","species","t0065276","Heliopora coerulea","Animalia","Octocorallia","native","","","","LC","輕度","","species","Heliopora coerulea","","native","LC","","","Heliopora","coerulea",NA,NA,NA,NA,NA
"d69e3872-b695-4ffc-a91d-0b9c2a77343e","infraspecies","t0057607","Alauda gulgula wattersi","Animalia","Aves","native","","","NVU","","輕度","2024-12-01","infraspecies","Alauda gulgula wattersi","","native","","","","Alauda","gulgula","wattersi",NA,NA,NA,NA
"9472d259-7d45-491b-9cdf-a71df39b5fb1","infraspecies","t0057606","Alauda gulgula coelivox","Animalia","Aves","native","","","NVU","","輕度","2024-12-01","infraspecies","Alauda gulgula coelivox","","native","","","","Alauda","gulgula","coelivox",NA,NA,NA,NA
"cbe213a8-cdb5-432a-b46f-e54548d75d1b","infraspecies","t0029283","Garrulus glandarius taivanus","Animalia","Aves","native","true","","NLC","","輕度","2024-12-01","infraspecies","Garrulus glandarius taivanus","true","native","","","","Garrulus","glandarius","taivanus",NA,NA,NA,NA
"099552d8-6b9d-4f92-9667-a690fe0c286c","infraspecies","t0027554","Lonchura atricapilla sinensis","Animalia","Aves","non-native","","III","","","輕度","","infraspecies","Lonchura atricapilla sinensis","","non-native","","","III","Lonchura","atricapilla","sinensis",NA,"sensitive",NA,NA
"1dc2ca35-a992-4753-b6e8-d609774848dc","infraspecies","t0085855","Lonchura atricapilla jagori","Animalia","Aves","non-native","","III","","","輕度","","infraspecies","Lonchura atricapilla jagori","","non-native","","","","Lonchura","atricapilla","jagori",NA,"sensitive",NA,NA
"69e21abf-b727-4b43-8fe6-d5fd3adf1ad5","infraspecies","t0085854","Lonchura atricapilla deignani","Animalia","Aves","non-native","","III","","","輕度","","infraspecies","Lonchura atricapilla deignani","","non-native","","","","Lonchura","atricapilla","deignani",NA,"sensitive",NA,NA
"715e85f6-310c-4537-98a4-8a1e2c525210","infraspecies","t0085117","Lanius schach schach","Animalia","Aves","native","","","NVU","LC","輕度","2016-12-01","infraspecies","Lanius schach schach","","native","","","","Lanius","schach","schach",NA,NA,NA,NA
"58c022b9-5598-44ca-93c5-514bbf212e49","infraspecies","t0086020","Oriolus chinensis maculatus","Animalia","Aves","non-native","","II","NVU","","輕度","2016-12-01","infraspecies","Oriolus chinensis maculatus","","non-native","","","","Oriolus","chinensis","maculatus",NA,"sensitive",NA,NA
"f3f17e16-6025-4d61-b2ce-98c05ed7b265","infraspecies","t0032907","Sitta europaea formosana","Animalia","Aves","native","true","","NNT","","輕度","2024-12-01","infraspecies","Sitta europaea formosana","true","native","","NNT","","Sitta","europaea","formosana",NA,NA,NA,NA
